" Celle verdi indicano viaggi già effettuati, celle rosse i pagamenti ancora da effettuare, celle arancioni viaggi confermati ma ancora effettuati",,,,, Prenotazioni PROGRAMMATE,,,,, PARENTE VIAGGI,,
,,,,, Importo già saldato,, Da saldare, Totale programmato,,,,
,,,,,"€ 264.242,82",,"€ 6.146,03","€ 270.388,85",,,,
,Data partenza,Data rientro,Evento,,Capienza bus,numero autisti, Costo Noleggio, Costo ZTL/parcheggio,Fattura numero:, Pagata:, Data pagamento, Note
142,10/07/2025,, Navette Bus per il Concerto di Ultimo a Roma,, 2 bus,1," € 2.100,00 "," € 100,00 ",369," € 2.200,00 ",12/07/2025,
143,11/07/2025,, Navette Bus per il Concerto di Ultimo a Roma,,,1," € 1.050,00 "," € 50,00 ",374," € 1.100,00 ",23/07/2025,
144,12/07/2025,, Navette Bus per il Concerto di Max Pezzali a Imola,,,2," € 1.600,00 "," € 66,00 ",375," € 1.666,00 ",23/07/2025,
145,13/07/2025,, Concerto di Ultimo a Roma: Navette Bus da Abruzzo,, 2 bus,1," € 2.100,00 "," € 100,00 ",376," € 2.200,00 ",23/07/2025,
146,17/07/2025,, Tkt Mirabilandia,,,30," € 717,00 ",,380," € 717,00 ",23/07/2025,
147,17/07/2025,, Navette Bus per il Concerto di Cesare Cremonini a Roma - 17 Luglio 2025,,,2," € 2.100,00 "," € 100,00 ",382," € 2.200,00 ",23/07/2025,
148,18/07/2025,, Navette Bus per il Concerto di Cesare Cremonini a Roma - 18 Luglio 2025,,,2," € 2.100,00 "," € 100,00 ",383," € 2.200,00 ",28/07/2025,
149,20/07/2025,, Navette Bus per il Concerto di Marco Mengoni a Bari - 20 Luglio 2025,,,1," € 1.500,00 "," € 20,00 ",390," € 1.520,00 ",28/07/2025,
150,20/07/2025,, Navetta Bus AC/DC - Imola,,,2," € 1.600,00 "," € 66,00 ",389," € 1.666,00 ",28/07/2025,
151,25/07/2025,, ticket mirabilandia,, 50 tkt + 5 omaggio,," € 1.195,00 ",,394," € 1.195,00 ",28/07/2025,
152,31/07/2025,, ticket mirabilandia,, 86 tkt + 8 omaggio,," € 2.055,40 ",,397," € 2.055,40 ",12/08/2025,
153,02/08/2025,09/08/2025, Transfer Ancon Pa,, 30 pt,," € 1.000,00 ",,411," € 1.000,00 ",12/08/2025,
154,09/08/2025,, pescara - caprara - miglianico,,,1," € 600,00 ",,409," € 600,00 ",12/08/2025,
155,09/08/2025,, Mirabilandia,, 100 tkt + 10 omaggio,1," € 1.200,00 "," € 2.390,00 ",408," € 3.590,00 ",18/08/2025,
156,10/08/2025,, Capri - imbarco Napoli,,,1," € 1.050,00 "," € 122,00 ",410," € 1.172,00 ",18/08/2025,
157,13/08/2025,, ticket mirabilandia,, 200 tkt + 20 omaggio,," € 4.780,00 ",,412," € 4.780,00 ",18/08/2025,
158,15/08/2025,, mirabilandia,," € 63,00 ",," € 1.200,00 ",,416," € 1.200,00 ",18/08/2025,
159,17/08/2025,, alberobello  polignano,," € 63,00 ",," € 1.700,00 "," € 110,00 ",419," € 1.810,00 ",18/08/2025,
160,18/08/2025,, mirabilandia,, 63/51,," € 2.400,00 ",,420," € 2.400,00 ",18/08/2025,
161,22/08/2025,24/08/2025, Sorrento,," € 61,00 ",," € 2.400,00 "," € 210,00 ",425," € 2.610,00 ",25/08/2025,
162,23/08/2025,, melpignano,," € 63,00 ",," € 2.000,00 "," € 150,00 ",427," € 2.150,00 ",25/08/2025,
163,30/08/2025,, mirabilandia,," € 63,00 ",," € 1.200,00 ",,438," € 1.200,00 ",08/09/2025,
164,13/09/2025,, NAPOLI  (capri),," € 60,00 ",1," € 1.050,00 "," € 122,00 ",455," € 1.172,00 ",24/09/2025,
